,processed_problem,processed_action
1528,cylinder 4 rocker cover gasket leaking,removed replaced cylinder 4 rocker cover gasket
1529,r/h engine 4 baffle seal torn,removed replaced baffle seal
1530,r/h engine 3 intake tube gasket leaking,removed replaced gasket
1531,r/h engine 1 3 baffle tie rod spacer loose,resecured baffle tie rod
1532,cylinder 3 l/h engine intake gasket leaking,removed replaced cylinder 3 l/h engine intake gasket
1533,r/h engine cylinder 2 intake gasket leaking,removed replaced r/h engine cylinder 2 intake gasket
1534,cylinder 3 aft baffle i/b mount rivets sheared,removed baffle replaced 2 mount rivets reinstalled ba
1535,l/h engine cylinder 4 intake leaking,removed replaced intake gasket
1536,l/h engine cylinder 2 forward baffle seal torn,removed replaced baffle seal w/ new
1537,r/h engine forward cylinder 2 baffle seal torn,removed replaced baffle seal w/ new
1538,l/h engine sniffler valve hose adel clamp rubber worn out,removed replaced adel clamp
1539,l/h engine cylinder 1 2 3 rocker covers leaking,removed replaced rocker cover gaskets
1540,immediately after engine start high pitched whine/squeal/wh,ran a/c engine function normal no unusual noise noted
1541,cylinder 4 3 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1542,r/h back baffle bracket rivet sheared off,installed new rivets
1543,l/h back baffle has a crack,stop drilled crack
1544,1 intake leaking,removed replaced intake gasket
1545,all rocker cover screws loose,tightened screws
1546,adel clamp torn by r/h engine mount,removed replaced clamp
1547,rivnut stripped out on firewall for a/f fuel filter,removed replaced rivnut
1548,left engine n1 rpm has 3 to 4 uncommanded increase when engine,inspected external linkage no problems noted
1549,tabs broken off baffle plugs l/h r/h sides,replaced l/h r/h baffle plugs
1550,engine quit when throttle was closed during shut down prior,ran up a/c no defects noted
1551,l/h engine l/h baffle tie rod pulled through baffle,removed replaced baffle
1552,l/h engine 2 intake gasket leaking,removed replaced l/h engine 2 intake gasket
1553,baffle seal loose on lh/ engine 4 aft baffle,secured baffle seal back on engine baffle
1554,baffle seal loose on r/h engine 1 side baffle,secured baffle seal back on engine baffle
1555,2 4 cylinder rocker cover gaskets leaking,removed replaced gaskets
1556,r/h engine burner can drain rigid line contacting bottom cuttoff,leak check good
1557,r/h engine burner can drain rigid line contacting bottom cuttoff,loosen adj lines pneumatic drain lines removed ca
1558,r/h engine forward baffle seal loose,rescured baffle seal
1559,rivets missing on engine data plate,replaced rivets
1560,after takeoff rpms were fluctuating engine started to ru,ran a/c could not duplicate removed cowling inspect
1561,oil leak noted on front engine section,no leak noted on run up
1562,oil leak noted on front engine section,checked torque on front main bearing nuts crankcase b
1563,cylinder 1 intake gasket leaking,removed replaced intake gasket
1564,cylinder 2 3 4 rocker covers leaking,removed replaced gaskets
1565,forward baffle chafing on external shroud,repositioned baffle to clear muffler shroud
1566,cylinder 4 intake gasket leaking,removed replaced cylinder 4 intake gasket
1567,forward engine baffle cracked behind alternator,stop drilled crack
1568,cylinder 1 2 rocker cover gaskets leaking,removed replaced gaskets
1569,r/h rear engine baffle screw loose,tightened screw
1570,intakes 2 4 leaking on l/h engine,removed replaced intake gaskets
1571,intake gasket cylinder 2 leaking,removed replaced intake gasket torqued bolts to spec
1572,rocker cover gasket cylinder 2 leaking,removed replaced rocker cover gasket tightened screw
1573,cylinder 4 intake leaking,replaced intake gasket
1574,forward baffle chafing on muffler heat shroud,repositioned baffle
1575,2 rocker cover gasket leaking,removed replaced 2 rocker cover gasket
1576,cylinder 1 governor baffle seal coming off,refastened baffle seal
1577,1 intake leaking,replaced intake gasket
1578,on run up l/h magnetos dropped 350 rpm,removed piston cleaned preserved 2 cylinder rocker oil
1579,on run up l/h magnetos dropped 350 rpm,removed 4 cylinder found oil control ring gap facing down
1580,on run up l/h magnetos dropped 350 rpm,completed reassy of engine added 8 qts of mineral oil
1581,on run up l/h magnetos dropped 350 rpm,leak cked valves honed cylinder bore measure good f
1582,cylinder 1 intake tube loose,replaced intake gaskets for cylinder 1 intake secure
1583,all 4 rocker covers have loose screws,tightened screws
1584,cylinder 4 baffle plug hole enlarged,installed patch fabricated out of like material
1585,cylinder 2 rocker cover gasket leaking,removed replaced cylinder 2 rocker cover gasket
1586,cylinder 4 intake leaking,replaced intake gasket
1587,cylinder 32 intake gasket leaking,removed replaced gasket w/ new
1588,3 cylinder rocker cover gasket leaking,removed replaced gasket
1589,forward baffle cracked heat shroud air intake,stop drilled cracks fabricated patch out of like mater
1590,cylinder 2 intake gasket leaking,removed replaced intake gasket
1591,rocker cover gasket 3 leaking,removed replaced rocker cover gasket
1592,3 cylinder aft baffle screw loose,tightened screw
1593,forward r/h engine baffle seal loose,resecured baffle seal
1594,4 rocker cover gasket leaking,removed replaced rocker cover gasket w/ new
1595,oil line 90 degree adel clamp bracket broken,removed replaced broken bracket
1596,cylinder 4 rocker cover gasket needs to be replaced,removed replaced cylinder 4 rocker cover gasket retappe
1597,cylinder 2 3 intakes leaking,removed replaced intake gaskets
1598,both baffle plugs have too many tabs missing,removed replaced baffle plugs
1599,cylinder 2 4 rocker covers leaking,removed replaced rocker cover gaskets
1600,cylinder 3 aft baffle i/b mount rivets sheared,removed baffle replaced rivets reinstalled baffle
1601,3 4 intakes leaking,removed replaced intake gaskets
1602,cylinder 2 intake tube at sump has possible fuel leak,cleaned tube ground run leak check good
1603,4 intake leaking,removed replaced 4 intake gasket
1604,1 rocker cover leaking,removed replaced 1 rocker cover gasket
1605,rocker covers 1 2 4 leaking,removed replaced rocker cover gaskets
1606,r/h forward baffle seal loose,resecured baffle seal
1607,4 intake leaking,replaced gasket
1608,4 intake gasket leaking,removed replaced gasket
1609,cylinder 2 rocker cover leaking,removed replaced rocker cover gasket
1610,cylinder 1 3 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1611,power at idle engine quit restarted tested idle w/ full,ran up a/c engine adjusted idle speed idle mixture channel
1612,during flight r/h cowl flap would not stay open,tightened bolt that attaches cowl flap levers adjuste
1613,r/h baffle tie rod broken,removed replaced baffle tie rod
1614,2 intake leaking,replaced gasket
1615,l/h engine 2 intake gasket leaking,removed replaced gasket
1616,1 cylinder exhaust stack missing nut r/h,installed nut washers
1617,r/h engine 4 cylinder baffle seal tearing off,installed new baffle seal
1618,r/h engine top crankcase half bolt w/ engine hoist loop leaking,removed bolt cleaned resealed w/ hitemp silicone t
1619,support from 4 cylinder aft baffle to crankcase half broken o,removed rod repaired iaw channel 4 second 5 rei
1620,baffle plug tangs broken off,installed new baffle plug
1621,2 intake cylinder gasket leaking,removed replaced intake gasket
1622,forward r/h baffle seal loose,resecured baffle seal
1623,cylinder 3 intake gasket leaking,removed replaced intake gasket
1624,r/h baffle plug needs to be replaced,removed replaced baffle plug
1625,cylinder 4 2 intake gaskets leaking,removed replaced cylinder 2 4 intake gaskets
1626,2 induction tube gasket leaking,installed new induction tube gasket
1627,r/h forward baffle seal loose,resecured r/h baffle seal
1628,on engine start engine was unusually rough attempted to leading-edge,maintenance flight required
1629,on engine start engine was unusually rough attempted to leading-edge,magnetos drops check good compressions cked good
1630,on engine start engine was unusually rough attempted to leading-edge,started a/c engine ran very rough then smoothed out
1631,on engine start engine was unusually rough attempted to leading-edge,installed oil fuel lines installed induction elbow
1632,on engine start engine was unusually rough attempted to leading-edge,installed fuel flow transducer began to route fuel li
1633,on engine start engine was unusually rough attempted to leading-edge,removed engine began install of engine
1634,on engine start engine was unusually rough attempted to leading-edge,routed ignition leads adjusted throttle mixture cabl
1635,r/h forward baffle seal loose,resecured baffle seal
1636,aft baffle seal loose r/h side,resecured baffle seal
1637,cylinder 2 4 rocker covers leaking,removed replaced rocker cover gaskets
1638,1 2 3 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1639,cylinder 3 intake gasket leaking,removed replaced intake gasket
1640,4 intake leaking,installed new 4 induction tube gasket
1641,1 rocker cover leaking,removed replaced gasket
1642,2 induction tube gasket leaking,installed new 2 induction tube gasket
1643,4 cylinder compression test was 35/80,staked valves no change in compression
1644,4 cylinder compression test was 35/80,ran up leak cked check good compression check 79/80
1645,4 cylinder compression test was 35/80,2 4 oil drains connected 4 fuel injector line inst
1646,4 cylinder compression test was 35/80,removed 4 cylinder included 4 fuel inj line and 2 4 oi
1647,r/h forward baffle seal loose,resecured
1648,leaking intake tube cylinder 4 leak at attach point to oil sump,removed engine cowling
1649,leaking intake tube cylinder 4 leak at attach point to oil sump,reswedged intake connector into sump reinstalled cowli
1650,4 intake leaking,replaced intake gasket
1651,r/h engine wiring clamp forward i/b not attached,removed unused clamp from wire bundle
1652,oil seep r/h engine tach gen,removed tach generator fabricated extraction tool rem
1653,cylinder 2 oil return line was disconnected fitting removed,leak check good
1654,1 3 o/b baffle tie worn thru aft baffle,repositioned 1 3 o/b baffle tie
1655,2 oil drain tube chafing on baffle,removed 2 oil return line from cylinder head removed rocke
1656,2 forward baffle cracked beyond stop drill,stop drilled crack fabricated patch of like material
1657,rear baffle bracket at engine center broken at bolt,removed cracked bracket fabricated new bracket from li
1658,cylinder 2 oil return line was disconnected fitting removed,reinstalled 45 degree fitting reattached cylinder head end
1659,2 rocker cover leaking,removed replaced rocker cover gasket
1660,r/h rear engine baffle screw loose,tightened screw
1661,3 intake leaking,replaced gasket
1662,r/h forward engine baffle missing plug,replaced plug
1663,4 intake leaking,removed replaced intake gasket
1664,1 rocker cover leaking,removed replaced rocker cover gasket
1665,cylinder 2 3 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets
1666,failed override speed check rpm dropped to 800 rpm stabil,adjusted idle speed ran up a/c operational safety section check good
1667,rocker cover gaskets 2 3 torn,removed replaced rocker cover gaskets
1668,cylinder 2 intake gasket leaking,removed replaced intake gasket
1669,engine rpm was 1700,ran up a/c adjusted idle speed operational safety section check good
1670,r/h baffle support rod for cylinder 1 3 broken,removed replaced rod
1671,cylinder 3 aft baffle has sheared rivet,removed aft baffle oil psi line replaced rivet inst
1672,2 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets safetied bolt
1673,baffle seal torn forward of 2 cylinder on l/h r/h engines,removed replaced 2 baffles seals on both engines
1674,3 cylinder right engine shows no exhaust gas temperature ,cleaned plugs 3 cylinder ran cked ok
1675,3 cylinder aft baffle on l/h engine cracked,fabricated installed patch iaw par 453
1676,4 intake gasket leaking,removed replaced 4 intake gasket
1677,2 rocker cover leaking,removed replaced 2 rocker cover gasket
1678,cylinder 2 intake gasket leaking,removed replaced intake gasket
1679,r/h engine 2 induction tube gasket leaking,installed new 2 induction tube gasket
1680,rocker covers 2 3 4 leaking on r/h engine,installed new rocker box cover gaskets
1681,1 4 rocker covers leaking on l/h engine,installed new 1 4 rocker box cover gaskets
1682,2 intake leaking on l/h engine,installed new 2 intake gasket
1683,2 4 rocker covers leaking on l/h engine,installed new rocker box cover gaskets
1684,rocker covers 2 4 leaking on r/h engine,installed new rocker box cover gaskets
1685,3 cylinder on r/h engine has low compression,borescoped cylinder found exhaust valve to appear burn
1686,3 cylinder on r/h engine has low compression,removed cylinder assembly installed repaired cylinder assembly pe
1687,3 cylinder on r/h engine has low compression,torqued base nuts to specs reinstalled exhaust intake
1688,cylinder 3 leaking intake tube at oil sump,removed engine cowling
1689,cylinder 3 leaking intake tube at oil sump,reswedged 3 intake tube iaw lycoming overhaul manual
1690,rocker cover gaskets cylinder 2 3 4 leaking,removed replaced rocker cover gaskets cleaned leaks
